ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://mail.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/mail.acronis.com_vhost.json

host: 10.100.100.0        | status: 302 | length: 0 | words: 1 | lines: 1 |
host: manage              | status: 302 | length: 0 | words: 1 | lines: 1 |
host: mgmt                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: mirror              | status: 302 | length: 0 | words: 1 | lines: 1 |
host: mobile              | status: 302 | length: 0 | words: 1 | lines: 1 |
host: monitor             | status: 302 | length: 0 | words: 1 | lines: 1 |
host: mssql               | status: 302 | length: 0 | words: 1 | lines: 1 |
host: mx0                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: mta                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: mx1                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: mx                  | status: 302 | length: 0 | words: 1 | lines: 1 |
host: news                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: mysql               | status: 302 | length: 0 | words: 1 | lines: 1 |
host: noc                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: ns                  | status: 302 | length: 0 | words: 1 | lines: 1 |
host: ns0                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: ns1                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: ns2                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: ns3                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: ntp                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: old                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: oracle              | status: 302 | length: 0 | words: 1 | lines: 1 |
host: ops                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: owa                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: pbx                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: portal              | status: 302 | length: 0 | words: 1 | lines: 1 |
host: s3                  | status: 302 | length: 0 | words: 1 | lines: 1 |
host: sharepoint          | status: 302 | length: 0 | words: 1 | lines: 1 |
host: secure              | status: 302 | length: 0 | words: 1 | lines: 1 |
host: server              | status: 302 | length: 0 | words: 1 | lines: 1 |
host: shop                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: smtp                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: sip                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: sql                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: squid               | status: 302 | length: 0 | words: 1 | lines: 1 |
host: ssh                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: ssl                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: stage               | status: 302 | length: 0 | words: 1 | lines: 1 |
host: stats               | status: 302 | length: 0 | words: 1 | lines: 1 |
host: status              | status: 302 | length: 0 | words: 1 | lines: 1 |
host: svn                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: staging             | status: 302 | length: 0 | words: 1 | lines: 1 |
host: syslog              | status: 302 | length: 0 | words: 1 | lines: 1 |
host: test                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: test1               | status: 302 | length: 0 | words: 1 | lines: 1 |
host: test2               | status: 302 | length: 0 | words: 1 | lines: 1 |
host: testing             | status: 302 | length: 0 | words: 1 | lines: 1 |
host: uat                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: v1                  | status: 302 | length: 0 | words: 1 | lines: 1 |
host: upload              | status: 302 | length: 0 | words: 1 | lines: 1 |
host: v2                  | status: 302 | length: 0 | words: 1 | lines: 1 |
host: v3                  | status: 302 | length: 0 | words: 1 | lines: 1 |
host: vm                  | status: 302 | length: 0 | words: 1 | lines: 1 |
host: vnc                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: web                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: voip                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: web2test            | status: 302 | length: 0 | words: 1 | lines: 1 |
host: vpn                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: whois               | status: 302 | length: 0 | words: 1 | lines: 1 |
host: wiki                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: www                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: www2                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: xml                 | status: 302 | length: 0 | words: 1 | lines: 1 |
